cgm, 42513, 757672
cleverleaf, 42610, 760947
cleaveland4, 43174, 780918
cblas, 42148, 751042
coinhsl, 42159, 751083
collier, 42179, 749525
claw, 42400, 753887
cabana, 47698, 794622
clinfo, 42861, 766488
braker, 50055, 939552
cubist, 2401, 1999
cubew, 2535, 4699
cantera, 73835, 1105070
cuda, 6356, 87653
cmark, 42177, 749511
cxx, 2401, 1328
brotli, 42172, 749476
cxxtest, 2401, 1999
cvs, 2401, 1999
ctpl, 7767, 116037
cufflinks, 2401, 1999
daligner, 2401, 1999
cusz, 2402, 2006
datamash, 2405, 2027
codes, 42327, 758078
cloverleaf3d, 42160, 751078
cvector, 3126, 20096
damageproto, 2512, 4611
coevp, 42599, 764731
coin3d, 43087, 777408
compadre, 48792, 805602
cunit, 3141, 20465
cyrus-sasl, 3145, 20493
citcoms, 48813, 933786
cnvnator, 49798, 914575
czmq, 3433, 27952
darshan-util, 3219, 20921
clara, 42183, 749529
cairomm, 42168, 750245
dash, 3171, 21661
bpp-phyl, 42275, 755211
cups, 6686, 96213
clamav, 42218, 751617
clfft, 42961, 766940
cnpy, 42177, 749599
cairo, 42132, 746783
brynet, 42175, 749497
cppad, 42173, 749483
cudnn, 6844, 89835
cppgsl, 42275, 749705
cpuinfo, 42185, 749650
cracklib, 42302, 752726
cpu-features, 42268, 749670
clingo, 43031, 773258
bpp-seq-omics, 42278, 755237
creduce, 42320, 754870
dateutils, 2403, 2013
cromwell-womtool, 42148, 749756
cpp-httplib, 42184, 749560
cpp-termcolor, 42268, 749670
clhep, 42450, 750153
corenlp, 42174, 752434
cram, 42187, 751367
capstone, 42175, 749497
catch2, 42233, 749903
cminpack, 42193, 751275
cmake, 42132, 746810
cmocka, 42270, 749679
bridger, 42153, 749539
boost, 42132, 746820
cubelib, 2535, 4699
consul, 42180, 749492
console-bridge, 42177, 749511
cquery, 42178, 749604
cpprestsdk, 42226, 749823
bref3, 42150, 749770
cbench, 42427, 757990
bookleaf-cpp, 45493, 815807
circos, 42781, 777184
cask, 43559, 763720
cromwell, 42148, 749756
casper, 42189, 750726
decentralized-internet, 2401, 1999
care, 51663, 785942
debbuild, 2401, 1999
cassandra, 42151, 749787
ck, 42158, 749924
comgr, 42132, 746790
commons-lang3, 42163, 749812
clamr, 42324, 755998
clingo-bootstrap, 43400, 773748
commons-logging, 42155, 749783
commons-lang, 42165, 749823
discovar, 2411, 2020
ding-libs, 2403, 2013
distcc, 2518, 5381
dcap, 3141, 20465
coral, 42620, 766316
deconseq-standalone, 2933, 12739
dftd3-lib, 2401, 1999
dialign-tx, 2411, 2020
dlpack, 2406, 2034
dotnet-core-sdk, 2409, 2031
cray-fftw, 42177, 751118
dmtcp, 2402, 2006
disktype, 2401, 1999
dejagnu, 3205, 22449
cryptsetup, 42132, 746804
dotconf, 3141, 20465
dbus-glib, 7276, 104179
dramsim2, 2401, 1999
diffmark, 6278, 87733
cosbench, 42193, 749996
dri3proto, 2512, 4611
e2fsprogs, 2930, 13538
earlyoom, 2402, 2006
