cromwell, 39007, 386099
etcd, 39055, 386129
freeipmi, 4265, 30357
gcc, 40180, 389328
h5z-zfp, 40488, 390772
intel-xed, 4126, 27740
jstorm, 197, 244
kea, 39074, 388257
libnetworkit, 39102, 388273
metaphysicl, 907, 5459
minimd, 39007, 386461
nektools, 44785, 455041
p7zip, 197, 244
partitionfinder, 42494, 419056
profugusmc, 40200, 388930
py-azure-mgmt-servicefabric, 39604, 402602
py-cmocean, 43471, 442714
py-grandalf, 4692, 31211
py-ibm-cloud-sdk-core, 39191, 389047
py-nest-asyncio, 4355, 28708
py-opentuner, 41328, 418622
py-pyqi, 4354, 28706
py-pytest-xdist, 6907, 45903
py-qsymm, 40691, 400251
py-systemd-python, 4009, 27512
py-tomlkit, 4578, 30423
py-uritemplate, 4354, 28706
py-whatshap, 44584, 459317
r-assertive-files, 39351, 394246
r-commonmark, 39261, 389983
r-ff, 39369, 392245
r-gsl, 39379, 392827
r-lwgeom, 45033, 499746
r-polynom, 39261, 389983
r-rhdf5filters, 39331, 392222
r-spades-addins, 52828, 788380
rocminfo, 38991, 384019
snbone, 39095, 388162
time, 197, 244
transposome, 39216, 389024
wxwidgets, 39015, 386102
asio, 39096, 386359
bpp-phyl-omics, 39259, 394716
conduit, 43866, 452996
entrezdirect, 1674, 12907
exampm, 44389, 420506
geant4-vmc, 49643, 509812
hpccg, 39021, 386499
kokkos-kernels-legacy, 39739, 391792
libnsl, 3993, 27103
libverto, 912, 5498
libxscrnsaver, 1234, 8402
lordec, 39013, 386052
mpc, 1095, 6624
mshadow, 198, 251
mxnet, 60317, 610658
perl-b-hooks-endofscope, 700, 3616
perl-data-stag, 700, 3616
perl-graph, 703, 3435
perl-package-deprecationmanager, 678, 3380
perl-threads, 678, 3380
pmlib, 39082, 386700
py-azure-mgmt-applicationinsights, 39619, 402638
py-bsddb3, 4435, 28905
py-cycler, 4459, 29377
py-earthengine-api, 4905, 34582
py-fenics-ffcx, 39972, 405108
py-ipaddress, 4356, 28720
py-keras-applications, 4360, 28748
py-mapclassify, 42062, 411726
py-poster, 4354, 28706
py-pyautogui, 41269, 412632
py-requests-mock, 4354, 28706
py-scikit-image, 49505, 496861
py-wcwidth, 4354, 28706
py-zc-buildout, 4381, 28765
r-a4preproc, 41430, 461019
r-bindrcpp, 39392, 396384
r-delayedmatrixstats, 41103, 439536
r-geiger, 42573, 487367
r-jomo, 43104, 476610
r-nortest, 39261, 389983
r-randomforest, 39342, 390154
r-s2, 39376, 396338
r-tidyverse, 46743, 643678
rt-tests, 197, 244
ruby-zentest, 4132, 28437
sentencepiece, 39185, 386766
strumpack, 47599, 442877
visit-ffp, 44751, 455050
ascent, 89290, 706927
czmq, 1202, 7551
dihydrogen, 47042, 428526
folly, 39645, 398489
gtkplus, 38991, 384008
ipcalc, 930, 5721
json-cwx, 910, 5484
keyutils, 200, 265
latex2html, 39258, 391386
libxt, 1331, 9336
lsof, 199, 258
maq, 213, 284
mesquite, 39017, 386495
ncview, 39624, 395430
p4est, 39056, 386717
powerapi, 39066, 386764
py-azure-mgmt-recoveryservices, 39605, 402609
py-crcmod, 4446, 28899
py-duecredit, 39570, 396811
py-hyperopt, 46163, 459054
py-pep8, 4355, 28711
py-projectq, 40558, 399084
py-quantities, 39210, 386462
py-tensorflow-hub, 39806, 397056
r-abaenrichment, 42906, 505610
r-bsseq, 45106, 531018
r-fansi, 39299, 390086
r-gsalib, 39261, 389983
r-mapplots, 39294, 390051
r-phylobase, 42772, 512537
r-rpart-plot, 39412, 392342
r-survey, 39880, 407668
rasdaemon, 912, 5498
redundans, 39357, 388966
sickle, 233, 489
sleef, 39044, 386161
thrift, 39695, 392709
xcb-proto, 201, 272
xedit, 4320, 31209
xrdb, 1465, 10788
zookeeper, 197, 244
aspect, 79957, 709921
csdp, 244, 510
cyrus-sasl, 914, 5512
dialign-tx, 207, 265
draco, 48079, 488032
g4emlow, 202, 279
gchp, 40745, 417699
hipsparse, 40031, 392477
lammps, 54331, 525825
mark, 197, 244
metall, 39138, 386356
ncurses, 306, 856
nghttp2, 38991, 63272
openjpeg, 38991, 384038
perl-io-stringy, 678, 3380
perl-set-scalar, 678, 3380
pflask, 39032, 386078
py-azure-common, 4395, 29225
py-azure-mgmt-sql, 39604, 402602
py-crispresso, 46321, 471161
py-healpy, 51933, 537607
py-portend, 5210, 34234
py-pychecker, 4009, 27512
py-pylint, 5929, 39390
py-pytest-httpbin, 6294, 46025
py-pythonqwt, 22545, 21292
py-scikit-fmm, 39079, 386223
py-ucsf-pyem, 53992, 559082
r-bibtex, 39590, 398860
r-deseq2, 47149, 670585
r-gsodr, 40498, 433473
r-matrix, 39425, 392385
r-plyr, 39383, 392318
r-rjava, 39348, 390513
r-splancs, 39385, 394308
r-yaml, 39265, 390011
saws, 4010, 27521
seqtk, 235, 503
simul, 39010, 386482
textparser, 39058, 386628
xapian-core, 234, 496
xdmf3, 39081, 386767
aspell, 197, 244
atompaw, 40235, 389058
cblas, 39007, 386461
cufflinks, 197, 244
date, 39153, 386376
fastjar, 233, 489
fermikit, 258, 505
flac, 361, 1575
fox, 39195, 389070
gunrock, 40409, 392848
iperf2, 197, 244
jline3, 39016, 386176
libibumad, 39037, 386115
memaxes, 39110, 386248
ncbi-magicblast, 218, 454
netpbm, 39195, 389119
pasta, 39044, 386657
ppl, 933, 5738
py-3to2, 4009, 27512
py-apache-beam, 46040, 454640
py-blessed, 4497, 29892
py-cheetah, 4597, 29698
py-datasets, 48750, 484501
